n01440764	A species of freshwater game fish, Tinca tinca.
n01440764	Freshwater dace-like game fish of Europe and western Asia noted for ability to survive outside water
n01440764	Species of fish
n01440764	Species of freshwater game fish.
n01440764	The tench or doctor fish is a fresh - and brackish-water fish of the cyprinid family found throughout Eurasia from Western Europe including the British Isles east into Asia as far as the Ob and Yenisei Rivers.
n01443537	Freshwater fish, common in aquariums
n01443537	Small golden or orange-red freshwater fishes of Eurasia used as pond or aquarium fishes
n01443537	The goldfish is a freshwater fish in the family Cyprinidae of order Cypriniformes.
n01484850	A large shark, Carcharodon carcharias, of coastal surface waters in all major oceans that feeds on fish and marine mammals.
n01484850	An animal that has a reputation for eating humans, such as the tiger or shark.
n01484850	An attack on a human by a shark.
n01484850	A shark attack is an attack on a human by a shark.
n01484850	A species of shark
n01484850	Attack on a human by a shark
n01484850	Large aggressive shark widespread in warm seas; known to attack humans
n01484850	Man-eater is a colloquial term for an animal that preys upon humans.
n01484850	The great white shark
n01484850	The great white shark, also known as the great white, white pointer, white shark, or white death, is a species of large lamniform shark which can be found in the coastal surface waters of all the major oceans.
n01491361	A large shark, Galeocerdo cuvier, common in the mid-Pacific, that hunts alone and has dark stripes across its back.
n01491361	Large dangerous warm-water shark with striped or spotted body
n01491361	Species of shark
n01491361	The tiger shark is a species of requiem shark and the only member of the genus Galeocerdo.
n01494475	An amusement park owned by Cedar Fair Entertainment Company
n01494475	Any of various sharks of the genus Sphyrna having the eyes set on projections from the sides of the head, which gives it a hammer shape.
n01494475	Family of sharks
n01494475	Knott's Berry Farm is a theme park in Buena Park, California, owned by Cedar Fair Entertainment Company.
n01494475	Medium-sized live-bearing shark with eyes at either end of a flattened hammer-shaped head; worldwide in warm waters; can be dangerous
n01494475	Of which there are nine known species
n01494475	Shark of the genus Sphyrna.
n01494475	The hammerhead sharks are a group of sharks in the family Sphyrnidae, so named for the unusual and distinctive structure of their heads, which are flattened and laterally extended into a "hammer" shape called a "cephalofoil".
n01496331	An electric ray of the family Narcinidae, capable of delivering numbing shocks.
n01496331	Any of the group of rays of the order , which can produce an electric discharge.
n01496331	Any sluggish bottom-dwelling ray of the order Torpediniformes having a rounded body and electric organs on each side of the head capable of emitting strong electric discharges
n01496331	Fish of the order Torpedodiniformes.
n01496331	Order of rays
n01496331	The electric rays are a group of rays, flattened cartilaginous fish with enlarged pectoral fins, comprising the order Torpediniformes.
n01496331	The numbfishes are a group of electric rays in the family Narcinidae.
n01496331	The torpedo, or electric ray, whose touch gives an electric shock.
n01498041	Any of various large, venomous rays, of the orders Rajiformes and Myliobatiformes, having a barbed, whiplike tail.
n01498041	Large venomous ray with large barbed spines near the base of a thin whiplike tail capable of inflicting severe wounds
n01498041	Stingrays are a group of rays, which are cartilaginous fishes related to sharks.
n01498041	Suborder of rays
n01514668	Adult male bird
n01514668	A male pigeon.
n01514859	Adult female bird
n01514859	A female bird.
n01518878	A large flightless bird (Struthio camelus) native to Africa.
n01518878	Fast-running African flightless bird with two-toed feet; largest living bird
n01518878	Large flightless bird.
